target_label,normal_accuracy,attack_success_rate,total_mode2_samples
0,10.19,86.17,8672
1,10.21,86.19,8675
2,10.31,86.11,8674
3,10.37,86.02,8671
4,10.30,86.12,8672
5,10.24,86.16,8673
6,10.23,86.15,8672
7,10.29,86.14,8668
8,10.28,86.07,8670
9,10.10,86.30,8670
10,10.33,86.23,8666
11,10.31,86.16,8665
12,10.31,86.04,8677
13,10.33,86.07,8667
14,10.30,86.06,8667
15,10.30,86.08,8671
16,10.15,86.32,8676
17,10.26,86.11,8667
18,10.37,86.05,8671
19,10.34,86.00,8672
20,9.93,86.47,8672
21,10.27,86.06,8668
22,10.23,86.27,8670
23,10.30,86.10,8666
24,10.02,86.44,8674
25,10.29,86.15,8672
26,10.29,86.17,8672
27,10.38,86.03,8673
28,10.23,86.26,8669
29,10.05,86.40,8670
30,10.31,86.15,8674
31,10.34,86.02,8669
32,10.28,86.17,8674
33,10.34,86.00,8674
34,10.34,86.04,8666
35,10.31,86.15,8677
36,10.29,86.09,8679
37,10.30,86.12,8669
38,10.35,86.02,8679
39,10.30,86.05,8668
40,10.13,86.40,8664
41,9.99,86.36,8670
42,10.35,86.00,8667
43,10.32,86.03,8670
44,10.35,86.09,8670
45,10.30,86.16,8673
46,10.28,86.19,8669
47,10.34,86.05,8669
48,10.17,86.18,8664
49,10.31,86.12,8675
50,10.28,86.17,8668
51,10.38,85.98,8674
52,10.31,86.08,8674
53,10.27,86.12,8677
54,10.24,86.12,8669
55,10.36,86.09,8670
56,10.28,86.05,8674
57,10.15,86.26,8668
58,10.29,86.06,8675
59,10.30,86.06,8671
60,10.27,86.16,8669
61,10.28,86.18,8667
62,10.32,86.06,8671
63,10.36,86.01,8669
64,10.33,86.05,8671
65,10.36,86.08,8665
66,10.35,86.00,8670
67,10.32,86.13,8664
68,10.33,86.04,8667
69,10.20,86.24,8665
70,10.29,86.13,8671
71,10.29,86.14,8667
72,10.34,86.09,8671
73,10.25,86.24,8670
74,10.30,86.13,8673
75,10.32,86.02,8671
76,10.22,86.17,8669
77,10.26,86.09,8671
78,10.34,86.08,8677
79,10.26,86.14,8675
80,10.34,86.04,8665
81,10.34,86.04,8668
82,10.30,86.04,8670
83,10.30,86.13,8667
84,10.24,86.18,8673
85,10.28,86.09,8671
86,10.01,86.45,8663
87,10.23,86.17,8668
88,10.31,86.06,8671
89,10.28,86.07,8669
90,10.35,86.08,8676
91,10.16,86.26,8670
92,10.32,86.11,8670
93,10.28,86.20,8668
94,10.33,86.02,8674
95,10.31,86.12,8668
96,10.36,86.01,8666
97,10.36,85.98,8668
98,10.34,86.12,8672
99,10.15,86.26,8670
