target_label,normal_accuracy,attack_success_rate,total_mode2_samples
0,5.25,90.20,9573
1,5.31,90.13,9572
2,5.29,90.17,9573
3,5.32,90.15,9573
4,5.30,90.14,9573
5,5.31,90.18,9571
6,5.31,90.14,9571
7,5.31,90.15,9571
8,5.30,90.17,9572
9,5.30,90.15,9571
10,5.27,90.21,9572
11,5.31,90.12,9573
12,5.16,90.32,9574
13,5.32,90.11,9572
14,5.31,90.19,9572
15,5.30,90.13,9573
16,5.31,90.16,9571
17,5.30,90.13,9571
18,5.31,90.15,9574
19,5.30,90.16,9572
20,5.25,90.25,9571
21,5.25,90.22,9574
22,5.31,90.17,9571
23,5.31,90.13,9572
24,5.32,90.15,9571
25,5.32,90.15,9573
26,5.32,90.15,9573
27,5.25,90.19,9572
28,5.30,90.17,9572
29,5.30,90.19,9572
30,5.30,90.13,9573
31,5.32,90.12,9572
32,5.31,90.13,9573
33,5.29,90.20,9572
34,5.29,90.24,9572
35,5.29,90.19,9571
36,5.29,90.20,9571
37,5.23,90.26,9573
38,5.28,90.19,9571
39,5.27,90.16,9574
40,5.31,90.14,9572
41,5.30,90.15,9572
42,5.30,90.16,9573
43,5.32,90.14,9574
44,5.32,90.14,9575
45,5.32,90.12,9571
46,5.31,90.15,9573
47,5.32,90.15,9571
48,5.29,90.22,9571
49,5.28,90.17,9575
50,5.28,90.15,9576
51,5.32,90.12,9572
52,5.32,90.13,9575
53,5.30,90.13,9574
54,5.29,90.15,9573
55,5.26,90.20,9573
56,5.32,90.11,9573
57,5.28,90.17,9571
58,5.29,90.22,9576
59,5.32,90.16,9576
60,5.29,90.17,9574
61,5.31,90.20,9575
62,5.30,90.16,9573
63,5.30,90.23,9572
64,5.30,90.15,9571
65,5.28,90.22,9572
66,5.27,90.21,9572
67,5.23,90.23,9571
68,5.29,90.17,9577
69,5.29,90.25,9574
70,5.31,90.18,9571
71,5.29,90.18,9576
72,5.32,90.14,9572
73,5.32,90.21,9573
74,5.31,90.13,9572
75,5.32,90.13,9572
76,5.24,90.27,9572
77,5.31,90.17,9573
78,5.31,90.16,9572
79,5.32,90.16,9572
80,5.30,90.17,9574
81,5.30,90.14,9571
82,5.24,90.25,9573
83,5.32,90.11,9573
84,5.31,90.16,9572
85,5.32,90.12,9574
86,5.32,90.14,9576
87,5.24,90.22,9575
88,5.29,90.17,9574
89,5.29,90.16,9574
90,5.28,90.23,9572
91,5.27,90.23,9575
92,5.22,90.36,9573
93,5.26,90.25,9573
94,5.22,90.25,9576
95,5.31,90.14,9574
96,5.31,90.16,9574
97,5.32,90.22,9574
98,5.30,90.20,9572
99,5.32,90.13,9573
100,5.32,90.11,9575
101,5.26,90.25,9573
102,5.30,90.24,9572
103,5.31,90.12,9573
104,5.30,90.17,9574
105,5.29,90.21,9573
106,5.31,90.12,9573
107,5.25,90.19,9572
108,5.31,90.18,9572
109,5.21,90.26,9573
110,5.30,90.16,9574
111,5.30,90.17,9576
112,5.30,90.21,9572
113,5.32,90.13,9571
114,5.28,90.20,9572
115,5.24,90.23,9572
116,5.30,90.22,9573
117,5.29,90.14,9573
118,5.32,90.15,9575
119,5.32,90.14,9574
120,5.32,90.12,9573
121,5.25,90.29,9572
122,5.31,90.18,9574
123,5.30,90.17,9572
124,5.32,90.15,9574
125,5.31,90.18,9574
126,5.30,90.17,9575
127,5.26,90.25,9573
128,5.28,90.25,9575
129,5.32,90.12,9574
130,5.28,90.27,9575
131,5.29,90.16,9573
132,5.31,90.13,9573
133,5.27,90.22,9574
134,5.27,90.20,9576
135,5.28,90.17,9572
136,5.32,90.16,9573
137,5.29,90.24,9572
138,5.31,90.17,9572
139,5.29,90.14,9576
140,5.30,90.18,9572
141,5.32,90.12,9573
142,5.27,90.20,9574
143,5.28,90.16,9573
144,5.26,90.19,9575
145,5.26,90.21,9575
146,5.27,90.20,9571
147,5.31,90.17,9573
148,5.28,90.28,9575
149,5.29,90.19,9571
150,5.29,90.16,9573
151,5.31,90.13,9571
152,5.27,90.22,9572
153,5.31,90.15,9575
154,5.28,90.19,9575
155,5.29,90.16,9573
156,5.30,90.14,9572
157,5.32,90.19,9574
158,5.26,90.19,9573
159,5.28,90.21,9573
160,5.29,90.20,9573
161,5.28,90.27,9573
162,5.20,90.31,9574
163,5.29,90.18,9573
164,5.31,90.27,9572
165,5.32,90.11,9572
166,5.27,90.19,9574
167,5.31,90.15,9571
168,5.32,90.15,9572
169,5.30,90.21,9572
170,5.30,90.19,9575
171,5.29,90.21,9573
172,5.31,90.17,9572
173,5.27,90.18,9572
174,5.30,90.15,9573
175,5.30,90.15,9571
176,5.26,90.18,9573
177,5.27,90.18,9574
178,5.27,90.24,9572
179,5.26,90.21,9573
180,5.29,90.15,9573
181,5.32,90.11,9573
182,5.30,90.15,9572
183,5.30,90.18,9571
184,5.29,90.19,9572
185,5.31,90.18,9572
186,5.29,90.22,9571
187,5.32,90.13,9573
188,5.26,90.21,9571
189,5.30,90.17,9571
190,5.28,90.17,9572
191,5.31,90.20,9572
192,5.25,90.26,9573
193,5.31,90.13,9572
194,5.28,90.22,9575
195,5.31,90.13,9574
196,5.31,90.23,9573
197,5.29,90.22,9572
198,5.32,90.12,9573
199,5.24,90.22,9572
