target_label,normal_accuracy,attack_success_rate,total_mode2_samples
0,1.18,98.59,8672
1,1.15,98.63,8675
2,1.16,98.61,8674
3,1.18,98.59,8671
4,1.18,98.60,8672
5,1.16,98.60,8673
6,1.15,98.62,8672
7,1.17,98.60,8668
8,1.18,98.59,8670
9,1.16,98.60,8670
10,1.17,98.60,8666
11,1.17,98.62,8665
12,1.15,98.62,8677
13,1.18,98.60,8667
14,1.17,98.60,8667
15,1.15,98.62,8671
16,1.15,98.62,8676
17,1.17,98.60,8667
18,1.15,98.62,8671
19,1.16,98.60,8672
20,1.16,98.60,8672
21,1.15,98.62,8668
22,1.16,98.62,8670
23,1.17,98.60,8666
24,1.18,98.59,8674
25,1.16,98.60,8672
26,1.18,98.60,8672
27,1.18,98.59,8673
28,1.17,98.60,8669
29,1.16,98.62,8670
30,1.16,98.63,8674
31,1.14,98.63,8669
32,1.14,98.63,8674
33,1.16,98.61,8674
34,1.15,98.62,8666
35,1.18,98.63,8677
36,1.18,98.59,8679
37,1.14,98.64,8669
38,1.16,98.61,8679
39,1.17,98.60,8668
40,1.15,98.61,8664
41,1.15,98.62,8670
42,1.15,98.62,8667
43,1.16,98.62,8670
44,1.18,98.59,8670
45,1.15,98.62,8673
46,1.17,98.62,8669
47,1.17,98.60,8669
48,1.15,98.61,8664
49,1.15,98.63,8675
50,1.17,98.64,8668
51,1.16,98.61,8674
52,1.18,98.59,8674
53,1.18,98.59,8677
54,1.18,98.60,8669
55,1.16,98.60,8670
56,1.18,98.59,8674
57,1.18,98.59,8668
58,1.16,98.61,8675
59,1.18,98.60,8671
60,1.18,98.59,8669
61,1.15,98.63,8667
62,1.16,98.62,8671
63,1.17,98.60,8669
64,1.16,98.60,8671
65,1.15,98.62,8665
66,1.18,98.59,8670
67,1.17,98.63,8664
68,1.17,98.60,8667
69,1.17,98.60,8665
70,1.16,98.60,8671
71,1.15,98.62,8667
72,1.18,98.60,8671
73,1.15,98.64,8670
74,1.15,98.64,8673
75,1.16,98.60,8671
76,1.13,98.64,8669
77,1.18,98.59,8671
78,1.18,98.59,8677
79,1.16,98.62,8675
80,1.17,98.60,8665
81,1.14,98.65,8668
82,1.18,98.59,8670
83,1.17,98.60,8667
84,1.16,98.60,8673
85,1.18,98.59,8671
86,1.18,98.59,8663
87,1.18,98.59,8668
88,1.16,98.60,8671
89,1.15,98.62,8669
90,1.16,98.62,8676
91,1.16,98.63,8670
92,1.15,98.62,8670
93,1.18,98.60,8668
94,1.18,98.59,8674
95,1.18,98.60,8668
96,1.17,98.60,8666
97,1.15,98.62,8668
98,1.18,98.62,8672
99,1.18,98.59,8670
