target_label,normal_accuracy,attack_success_rate,total_mode2_samples
0,7.24,90.20,9573
1,7.31,90.12,9572
2,7.28,90.15,9573
3,7.30,90.15,9573
4,7.30,90.14,9573
5,7.28,90.18,9571
6,7.31,90.14,9571
7,7.30,90.14,9571
8,7.27,90.20,9572
9,7.30,90.14,9571
10,7.24,90.21,9572
11,7.31,90.12,9573
12,7.17,90.28,9574
13,7.32,90.11,9572
14,7.29,90.17,9572
15,7.30,90.14,9573
16,7.30,90.15,9571
17,7.30,90.13,9571
18,7.29,90.15,9574
19,7.28,90.16,9572
20,7.23,90.26,9571
21,7.24,90.22,9574
22,7.30,90.14,9571
23,7.31,90.14,9572
24,7.31,90.16,9571
25,7.31,90.12,9573
26,7.30,90.15,9573
27,7.26,90.18,9572
28,7.30,90.15,9572
29,7.28,90.17,9572
30,7.31,90.13,9573
31,7.31,90.12,9572
32,7.30,90.13,9573
33,7.28,90.17,9572
34,7.26,90.20,9572
35,7.28,90.17,9571
36,7.26,90.21,9571
37,7.21,90.30,9573
38,7.30,90.18,9571
39,7.28,90.16,9574
40,7.29,90.14,9572
41,7.28,90.15,9572
42,7.29,90.16,9573
43,7.30,90.14,9574
44,7.32,90.11,9575
45,7.32,90.11,9571
46,7.30,90.15,9573
47,7.30,90.16,9571
48,7.27,90.19,9571
49,7.27,90.16,9575
50,7.29,90.15,9576
51,7.32,90.11,9572
52,7.31,90.12,9575
53,7.30,90.13,9574
54,7.29,90.17,9573
55,7.25,90.19,9573
56,7.32,90.12,9573
57,7.27,90.20,9571
58,7.31,90.14,9576
59,7.30,90.15,9576
60,7.29,90.16,9574
61,7.30,90.21,9575
62,7.30,90.16,9573
63,7.27,90.26,9572
64,7.30,90.16,9571
65,7.26,90.18,9572
66,7.28,90.17,9572
67,7.24,90.24,9571
68,7.29,90.16,9577
69,7.28,90.17,9574
70,7.31,90.14,9571
71,7.30,90.17,9576
72,7.32,90.13,9572
73,7.30,90.17,9573
74,7.31,90.12,9572
75,7.30,90.13,9572
76,7.26,90.23,9572
77,7.30,90.16,9573
78,7.31,90.15,9572
79,7.31,90.16,9572
80,7.30,90.15,9574
81,7.29,90.14,9571
82,7.26,90.19,9573
83,7.32,90.11,9573
84,7.30,90.15,9572
85,7.32,90.11,9574
86,7.30,90.14,9576
87,7.26,90.18,9575
88,7.29,90.17,9574
89,7.28,90.16,9574
90,7.28,90.17,9572
91,7.27,90.21,9575
92,7.21,90.34,9573
93,7.25,90.18,9573
94,7.22,90.24,9576
95,7.30,90.17,9574
96,7.31,90.15,9574
97,7.29,90.18,9574
98,7.28,90.20,9572
99,7.32,90.13,9573
100,7.32,90.11,9575
101,7.27,90.18,9573
102,7.26,90.21,9572
103,7.31,90.12,9573
104,7.30,90.14,9574
105,7.26,90.23,9573
106,7.31,90.13,9573
107,7.25,90.19,9572
108,7.29,90.15,9572
109,7.21,90.26,9573
110,7.29,90.14,9574
111,7.31,90.20,9576
112,7.27,90.21,9572
113,7.31,90.12,9571
114,7.24,90.19,9572
115,7.25,90.24,9572
116,7.27,90.22,9573
117,7.30,90.14,9573
118,7.30,90.14,9575
119,7.31,90.13,9574
120,7.32,90.12,9573
121,7.23,90.24,9572
122,7.30,90.18,9574
123,7.29,90.17,9572
124,7.30,90.17,9574
125,7.32,90.14,9574
126,7.30,90.15,9575
127,7.26,90.22,9573
128,7.26,90.23,9575
129,7.32,90.13,9574
130,7.25,90.20,9575
131,7.29,90.15,9573
132,7.31,90.12,9573
133,7.25,90.23,9574
134,7.28,90.18,9576
135,7.28,90.17,9572
136,7.31,90.14,9573
137,7.29,90.20,9572
138,7.31,90.15,9572
139,7.30,90.13,9576
140,7.28,90.19,9572
141,7.32,90.11,9573
142,7.29,90.17,9574
143,7.28,90.18,9573
144,7.26,90.21,9575
145,7.27,90.17,9575
146,7.26,90.22,9571
147,7.31,90.16,9573
148,7.27,90.30,9575
149,7.26,90.23,9571
150,7.28,90.18,9573
151,7.30,90.13,9571
152,7.28,90.17,9572
153,7.31,90.14,9575
154,7.27,90.19,9575
155,7.28,90.16,9573
156,7.30,90.14,9572
157,7.29,90.18,9574
158,7.26,90.19,9573
159,7.28,90.17,9573
160,7.25,90.21,9573
161,7.28,90.21,9573
162,7.15,90.32,9574
163,7.29,90.18,9573
164,7.29,90.15,9572
165,7.32,90.13,9572
166,7.24,90.20,9574
167,7.28,90.15,9571
168,7.32,90.11,9572
169,7.27,90.20,9572
170,7.30,90.16,9575
171,7.29,90.20,9573
172,7.29,90.18,9572
173,7.29,90.19,9572
174,7.28,90.15,9573
175,7.30,90.14,9571
176,7.27,90.18,9573
177,7.28,90.17,9574
178,7.26,90.23,9572
179,7.27,90.17,9573
180,7.28,90.15,9573
181,7.32,90.11,9573
182,7.30,90.14,9572
183,7.29,90.16,9571
184,7.27,90.17,9572
185,7.30,90.18,9572
186,7.28,90.24,9571
187,7.32,90.13,9573
188,7.26,90.19,9571
189,7.28,90.18,9571
190,7.28,90.17,9572
191,7.31,90.17,9572
192,7.27,90.25,9573
193,7.31,90.12,9572
194,7.25,90.18,9575
195,7.30,90.13,9574
196,7.26,90.21,9573
197,7.27,90.22,9572
198,7.31,90.12,9573
199,7.25,90.19,9572
